Tidsstempel,pådrag,tank,referanse
2026-05-03 17:26:49,36,49.5,50
2026-05-03 17:26:49,37,49.560001373291016,50
2026-05-03 17:26:49,36,49.650001525878906,50
2026-05-03 17:26:49,37,49.70000076293945,50
2026-05-03 17:26:49,40,49.720001220703125,50
2026-05-03 17:26:49,40,49.7400016784668,50
2026-05-03 17:26:49,37,49.79999923706055,50
2026-05-03 17:26:49,39,49.83000183105469,50
2026-05-03 17:26:50,38,49.83000183105469,50
2026-05-03 17:26:50,40,49.810001373291016,50
2026-05-03 17:26:50,39,49.84000015258789,50
2026-05-03 17:26:50,38,49.900001525878906,50
2026-05-03 17:26:50,40,49.880001068115234,50
2026-05-03 17:26:50,39,49.88999938964844,50
2026-05-03 17:26:50,41,49.81999969482422,50
2026-05-03 17:26:50,41,49.90999984741211,50
2026-05-03 17:26:51,41,49.849998474121094,50
2026-05-03 17:26:51,37,49.939998626708984,50
2026-05-03 17:26:51,37,50.02000045776367,50
2026-05-03 17:26:51,38,50.0099983215332,50
2026-05-03 17:26:51,41,49.970001220703125,50
2026-05-03 17:26:51,42,49.88999938964844,50
2026-05-03 17:26:51,40,49.91999816894531,50
2026-05-03 17:26:51,39,49.9900016784668,50
2026-05-03 17:26:51,38,50.040000915527344,50
2026-05-03 17:26:52,43,49.93000030517578,50
2026-05-03 17:26:52,37,50.040000915527344,50
2026-05-03 17:26:52,34,50.18000030517578,50
2026-05-03 17:26:52,35,50.2400016784668,50
2026-05-03 17:26:52,34,50.40999984741211,50
2026-05-03 17:26:52,35,50.5099983215332,
2026-05-03 17:26:53,39,50.439998626708984,50
2026-05-03 17:26:53,39,50.43000030517578,50
2026-05-03 17:26:53,36,50.4900016784668,50
2026-05-03 17:26:53,39,50.45000076293945,50
2026-05-03 17:26:53,39,50.43000030517578,50
2026-05-03 17:26:53,39,50.41999816894531,50
2026-05-03 17:26:53,39,50.40999984741211,50
2026-05-03 17:26:54,43,50.349998474121094,50
2026-05-03 17:26:54,39,50.380001068115234,50
2026-05-03 17:26:54,38,50.38999938964844,50
2026-05-03 17:26:54,37,50.470001220703125,50
2026-05-03 17:26:54,34,50.529998779296875,50
2026-05-03 17:26:54,38,50.540000915527344,50
2026-05-03 17:26:54,36,50.619998931884766,50
2026-05-03 17:26:54,32,50.7599983215332,50
2026-05-03 17:26:55,38,50.689998626708984,50
2026-05-03 17:26:55,37,50.689998626708984,50
2026-05-03 17:26:55,39,50.68000030517578,50
2026-05-03 17:26:55,39,50.619998931884766,50
2026-05-03 17:26:55,40,50.61000061035156,50
2026-05-03 17:26:55,39,50.54999923706055,50
2026-05-03 17:26:55,39,50.540000915527344,50
2026-05-03 17:26:55,38,50.54999923706055,50
2026-05-03 17:26:55,36,50.58000183105469,50
2026-05-03 17:26:56,38,50.56999969482422,50
2026-05-03 17:26:56,39,50.560001373291016,50
2026-05-03 17:26:56,38,50.56999969482422,50
2026-05-03 17:26:56,38,50.56999969482422,50
2026-05-03 17:26:56,36,50.61000061035156,50
2026-05-03 17:26:56,36,50.650001525878906,50
2026-05-03 17:26:56,36,50.66999816894531,50
2026-05-03 17:26:56,36,50.70000076293945,50
2026-05-03 17:26:56,37,50.75,50
2026-05-03 17:26:57,38,50.72999954223633,50
2026-05-03 17:26:57,38,50.72999954223633,50
2026-05-03 17:26:57,36,50.790000915527344,50
2026-05-03 17:26:57,38,50.720001220703125,50
2026-05-03 17:26:57,35,50.79999923706055,50
2026-05-03 17:26:57,38,50.77000045776367,50
2026-05-03 17:26:57,38,50.77000045776367,50
2026-05-03 17:26:57,38,50.77000045776367,50
2026-05-03 17:26:57,38,50.7599983215332,50
2026-05-03 17:26:58,41,50.72999954223633,50
2026-05-03 17:26:58,38,50.72999954223633,50
2026-05-03 17:26:58,36,50.77000045776367,50
2026-05-03 17:26:58,38,50.7400016784668,50
2026-05-03 17:26:58,35,50.79999923706055,50
2026-05-03 17:26:58,37,50.790000915527344,50
2026-05-03 17:26:58,37,50.790000915527344,50
2026-05-03 17:26:58,39,50.77000045776367,50
2026-05-03 17:26:58,38,50.779998779296875,50
2026-05-03 17:26:59,39,50.790000915527344,50
2026-05-03 17:26:59,37,50.790000915527344,50
2026-05-03 17:26:59,36,50.790000915527344,50
2026-05-03 17:26:59,36,50.83000183105469,50
2026-05-03 17:26:59,35,50.86000061035156,50
2026-05-03 17:26:59,37,50.849998474121094,50
2026-05-03 17:26:59,36,50.88999938964844,50
2026-05-03 17:26:59,35,50.900001525878906,50
2026-05-03 17:27:00,39,50.81999969482422,50
2026-05-03 17:27:00,40,50.83000183105469,50
2026-05-03 17:27:00,36,50.86000061035156,50
2026-05-03 17:27:00,33,50.91999816894531,50
2026-05-03 17:27:00,33,50.959999084472656,50
2026-05-03 17:27:00,36,50.959999084472656,50
2026-05-03 17:27:00,37,50.970001220703125,50
2026-05-03 17:27:00,39,50.93000030517578,50
2026-05-03 17:27:01,37,50.880001068115234,50
2026-05-03 17:27:01,38,50.88999938964844,50
2026-05-03 17:27:01,37,50.869998931884766,50
2026-05-03 17:27:01,39,50.81999969482422,50
2026-05-03 17:27:01,39,50.779998779296875,50
2026-05-03 17:27:01,36,50.810001373291016,50
2026-05-03 17:27:01,38,50.779998779296875,50
2026-05-03 17:27:01,36,50.81999969482422,50
